id,latitude,longitude,date_M_D_YYYY,date_M_D_YYYY_00_00_00,date_YYYY-MM-DD,date_YYYY-MM-DD_00_00_00,date_YYYY-MM-DDT00_00_00,date_YYYY-MM-DDT00_00_00Z,date_YYYY-MM-DDT00_00_00_America_LosAngeles,date_YYYY-MM-DDT00_00_00_America_NewYork,str_yyyy,str_yyyy-MM,str_yyyy-MM-dd,str1_yyyy-MM-dd_HH-mm-ss,int_yyyy,int_yyyyMM,int_yyyyMMdd,dbl1_yyyyMMddHHmmss,dbl2_yyyyMMddHHmmss,dbl_yyyyMMddHHmmssS,day,month,month_str_1,year,weekday,weekday_str,week_number,day365,isfeb29,DST,DST_switch,DST_adjust
1,0.125,1,1/1/2022,1/1/2022 00:00:00,2022-01-01,2022-01-01 00:00:00,2022-01-01T00:00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00-08:00,2022-01-01T00:00:00-05:00,2022,2022-01,2022-01-01,2022-01-01 00:00:00,2022,202201,20220101,20220101000000,20220101235959,20220101235959.5,1,1,Jan,2022,7,Saturday,1,1,0,0,0,0
2,0.375,1.125,1/2/2022,1/2/2022 00:00:00,2022-01-02,2022-01-02 00:00:00,2022-01-02T00:00:00,2022-01-02T00:00:00Z,2022-01-02T00:00:00-08:00,2022-01-02T00:00:00-05:00,2022,2022-01,2022-01-02,2022-01-02 00:00:00,2022,202201,20220102,20220102000000,20220102235959,20220102235959.5,2,1,Jan,2022,1,Sunday,2,2,0,0,0,0
3,0.5,1.25,1/3/2022,1/3/2022 00:00:00,2022-01-03,2022-01-03 00:00:00,2022-01-03T00:00:00,2022-01-03T00:00:00Z,2022-01-03T00:00:00-08:00,2022-01-03T00:00:00-05:00,2022,2022-01,2022-01-03,2022-01-03 00:00:00,2022,202201,20220103,20220103000000,20220103235959,20220103235959.5,3,1,Jan,2022,2,Monday,2,3,0,0,0,0
4,0.625,1.375,1/4/2022,1/4/2022 00:00:00,2022-01-04,2022-01-04 00:00:00,2022-01-04T00:00:00,2022-01-04T00:00:00Z,2022-01-04T00:00:00-08:00,2022-01-04T00:00:00-05:00,2022,2022-01,2022-01-04,2022-01-04 00:00:00,2022,202201,20220104,20220104000000,20220104235959,20220104235959.5,4,1,Jan,2022,3,Tuesday,2,4,0,0,0,0
5,0.75,1.5,1/5/2022,1/5/2022 00:00:00,2022-01-05,2022-01-05 00:00:00,2022-01-05T00:00:00,2022-01-05T00:00:00Z,2022-01-05T00:00:00-08:00,2022-01-05T00:00:00-05:00,2022,2022-01,2022-01-05,2022-01-05 00:00:00,2022,202201,20220105,20220105000000,20220105235959,20220105235959.5,5,1,Jan,2022,4,Wednesday,2,5,0,0,0,0
6,0.875,1.625,1/6/2022,1/6/2022 00:00:00,2022-01-06,2022-01-06 00:00:00,2022-01-06T00:00:00,2022-01-06T00:00:00Z,2022-01-06T00:00:00-08:00,2022-01-06T00:00:00-05:00,2022,2022-01,2022-01-06,2022-01-06 00:00:00,2022,202201,20220106,20220106000000,20220106235959,20220106235959.5,6,1,Jan,2022,5,Thursday,2,6,0,0,0,0
7,1,1.75,1/7/2022,1/7/2022 00:00:00,2022-01-07,2022-01-07 00:00:00,2022-01-07T00:00:00,2022-01-07T00:00:00Z,2022-01-07T00:00:00-08:00,2022-01-07T00:00:00-05:00,2022,2022-01,2022-01-07,2022-01-07 00:00:00,2022,202201,20220107,20220107000000,20220107235959,20220107235959.5,7,1,Jan,2022,6,Friday,2,7,0,0,0,0
8,1.125,1.875,1/8/2022,1/8/2022 00:00:00,2022-01-08,2022-01-08 00:00:00,2022-01-08T00:00:00,2022-01-08T00:00:00Z,2022-01-08T00:00:00-08:00,2022-01-08T00:00:00-05:00,2022,2022-01,2022-01-08,2022-01-08 00:00:00,2022,202201,20220108,20220108000000,20220108235959,20220108235959.5,8,1,Jan,2022,7,Saturday,2,8,0,0,0,0
9,1.375,2,1/9/2022,1/9/2022 00:00:00,2022-01-09,2022-01-09 00:00:00,2022-01-09T00:00:00,2022-01-09T00:00:00Z,2022-01-09T00:00:00-08:00,2022-01-09T00:00:00-05:00,2022,2022-01,2022-01-09,2022-01-09 00:00:00,2022,202201,20220109,20220109000000,20220109235959,20220109235959.5,9,1,Jan,2022,1,Sunday,3,9,0,0,0,0
10,1.5,2.125,1/10/2022,1/10/2022 00:00:00,2022-01-10,2022-01-10 00:00:00,2022-01-10T00:00:00,2022-01-10T00:00:00Z,2022-01-10T00:00:00-08:00,2022-01-10T00:00:00-05:00,2022,2022-01,2022-01-10,2022-01-10 00:00:00,2022,202201,20220110,20220110000000,20220110235959,20220110235959.5,10,1,Jan,2022,2,Monday,3,10,0,0,0,0
11,1.625,2.25,1/11/2022,1/11/2022 00:00:00,2022-01-11,2022-01-11 00:00:00,2022-01-11T00:00:00,2022-01-11T00:00:00Z,2022-01-11T00:00:00-08:00,2022-01-11T00:00:00-05:00,2022,2022-01,2022-01-11,2022-01-11 00:00:00,2022,202201,20220111,20220111000000,20220111235959,20220111235959.5,11,1,Jan,2022,3,Tuesday,3,11,0,0,0,0
12,1.75,2.375,1/12/2022,1/12/2022 00:00:00,2022-01-12,2022-01-12 00:00:00,2022-01-12T00:00:00,2022-01-12T00:00:00Z,2022-01-12T00:00:00-08:00,2022-01-12T00:00:00-05:00,2022,2022-01,2022-01-12,2022-01-12 00:00:00,2022,202201,20220112,20220112000000,20220112235959,20220112235959.5,12,1,Jan,2022,4,Wednesday,3,12,0,0,0,0
13,1.875,2.5,1/13/2022,1/13/2022 00:00:00,2022-01-13,2022-01-13 00:00:00,2022-01-13T00:00:00,2022-01-13T00:00:00Z,2022-01-13T00:00:00-08:00,2022-01-13T00:00:00-05:00,2022,2022-01,2022-01-13,2022-01-13 00:00:00,2022,202201,20220113,20220113000000,20220113235959,20220113235959.5,13,1,Jan,2022,5,Thursday,3,13,0,0,0,0
14,2,2.625,1/14/2022,1/14/2022 00:00:00,2022-01-14,2022-01-14 00:00:00,2022-01-14T00:00:00,2022-01-14T00:00:00Z,2022-01-14T00:00:00-08:00,2022-01-14T00:00:00-05:00,2022,2022-01,2022-01-14,2022-01-14 00:00:00,2022,202201,20220114,20220114000000,20220114235959,20220114235959.5,14,1,Jan,2022,6,Friday,3,14,0,0,0,0
15,2.125,2.75,1/15/2022,1/15/2022 00:00:00,2022-01-15,2022-01-15 00:00:00,2022-01-15T00:00:00,2022-01-15T00:00:00Z,2022-01-15T00:00:00-08:00,2022-01-15T00:00:00-05:00,2022,2022-01,2022-01-15,2022-01-15 00:00:00,2022,202201,20220115,20220115000000,20220115235959,20220115235959.5,15,1,Jan,2022,7,Saturday,3,15,0,0,0,0
16,2.375,2.875,1/16/2022,1/16/2022 00:00:00,2022-01-16,2022-01-16 00:00:00,2022-01-16T00:00:00,2022-01-16T00:00:00Z,2022-01-16T00:00:00-08:00,2022-01-16T00:00:00-05:00,2022,2022-01,2022-01-16,2022-01-16 00:00:00,2022,202201,20220116,20220116000000,20220116235959,20220116235959.5,16,1,Jan,2022,1,Sunday,4,16,0,0,0,0
17,2.5,3,1/17/2022,1/17/2022 00:00:00,2022-01-17,2022-01-17 00:00:00,2022-01-17T00:00:00,2022-01-17T00:00:00Z,2022-01-17T00:00:00-08:00,2022-01-17T00:00:00-05:00,2022,2022-01,2022-01-17,2022-01-17 00:00:00,2022,202201,20220117,20220117000000,20220117235959,20220117235959.5,17,1,Jan,2022,2,Monday,4,17,0,0,0,0
18,2.625,3.125,1/18/2022,1/18/2022 00:00:00,2022-01-18,2022-01-18 00:00:00,2022-01-18T00:00:00,2022-01-18T00:00:00Z,2022-01-18T00:00:00-08:00,2022-01-18T00:00:00-05:00,2022,2022-01,2022-01-18,2022-01-18 00:00:00,2022,202201,20220118,20220118000000,20220118235959,20220118235959.5,18,1,Jan,2022,3,Tuesday,4,18,0,0,0,0
19,2.75,3.25,1/19/2022,1/19/2022 00:00:00,2022-01-19,2022-01-19 00:00:00,2022-01-19T00:00:00,2022-01-19T00:00:00Z,2022-01-19T00:00:00-08:00,2022-01-19T00:00:00-05:00,2022,2022-01,2022-01-19,2022-01-19 00:00:00,2022,202201,20220119,20220119000000,20220119235959,20220119235959.5,19,1,Jan,2022,4,Wednesday,4,19,0,0,0,0
20,2.875,3.375,1/20/2022,1/20/2022 00:00:00,2022-01-20,2022-01-20 00:00:00,2022-01-20T00:00:00,2022-01-20T00:00:00Z,2022-01-20T00:00:00-08:00,2022-01-20T00:00:00-05:00,2022,2022-01,2022-01-20,2022-01-20 00:00:00,2022,202201,20220120,20220120000000,20220120235959,20220120235959.5,20,1,Jan,2022,5,Thursday,4,20,0,0,0,0
21,3,3.5,1/21/2022,1/21/2022 00:00:00,2022-01-21,2022-01-21 00:00:00,2022-01-21T00:00:00,2022-01-21T00:00:00Z,2022-01-21T00:00:00-08:00,2022-01-21T00:00:00-05:00,2022,2022-01,2022-01-21,2022-01-21 00:00:00,2022,202201,20220121,20220121000000,20220121235959,20220121235959.5,21,1,Jan,2022,6,Friday,4,21,0,0,0,0
22,3.125,3.625,1/22/2022,1/22/2022 00:00:00,2022-01-22,2022-01-22 00:00:00,2022-01-22T00:00:00,2022-01-22T00:00:00Z,2022-01-22T00:00:00-08:00,2022-01-22T00:00:00-05:00,2022,2022-01,2022-01-22,2022-01-22 00:00:00,2022,202201,20220122,20220122000000,20220122235959,20220122235959.5,22,1,Jan,2022,7,Saturday,4,22,0,0,0,0
23,3.375,3.75,1/23/2022,1/23/2022 00:00:00,2022-01-23,2022-01-23 00:00:00,2022-01-23T00:00:00,2022-01-23T00:00:00Z,2022-01-23T00:00:00-08:00,2022-01-23T00:00:00-05:00,2022,2022-01,2022-01-23,2022-01-23 00:00:00,2022,202201,20220123,20220123000000,20220123235959,20220123235959.5,23,1,Jan,2022,1,Sunday,5,23,0,0,0,0
24,3.5,3.875,1/24/2022,1/24/2022 00:00:00,2022-01-24,2022-01-24 00:00:00,2022-01-24T00:00:00,2022-01-24T00:00:00Z,2022-01-24T00:00:00-08:00,2022-01-24T00:00:00-05:00,2022,2022-01,2022-01-24,2022-01-24 00:00:00,2022,202201,20220124,20220124000000,20220124235959,20220124235959.5,24,1,Jan,2022,2,Monday,5,24,0,0,0,0
25,3.625,4,1/25/2022,1/25/2022 00:00:00,2022-01-25,2022-01-25 00:00:00,2022-01-25T00:00:00,2022-01-25T00:00:00Z,2022-01-25T00:00:00-08:00,2022-01-25T00:00:00-05:00,2022,2022-01,2022-01-25,2022-01-25 00:00:00,2022,202201,20220125,20220125000000,20220125235959,20220125235959.5,25,1,Jan,2022,3,Tuesday,5,25,0,0,0,0
26,3.75,4.125,1/26/2022,1/26/2022 00:00:00,2022-01-26,2022-01-26 00:00:00,2022-01-26T00:00:00,2022-01-26T00:00:00Z,2022-01-26T00:00:00-08:00,2022-01-26T00:00:00-05:00,2022,2022-01,2022-01-26,2022-01-26 00:00:00,2022,202201,20220126,20220126000000,20220126235959,20220126235959.5,26,1,Jan,2022,4,Wednesday,5,26,0,0,0,0
27,3.875,4.25,1/27/2022,1/27/2022 00:00:00,2022-01-27,2022-01-27 00:00:00,2022-01-27T00:00:00,2022-01-27T00:00:00Z,2022-01-27T00:00:00-08:00,2022-01-27T00:00:00-05:00,2022,2022-01,2022-01-27,2022-01-27 00:00:00,2022,202201,20220127,20220127000000,20220127235959,20220127235959.5,27,1,Jan,2022,5,Thursday,5,27,0,0,0,0
28,4,4.375,1/28/2022,1/28/2022 00:00:00,2022-01-28,2022-01-28 00:00:00,2022-01-28T00:00:00,2022-01-28T00:00:00Z,2022-01-28T00:00:00-08:00,2022-01-28T00:00:00-05:00,2022,2022-01,2022-01-28,2022-01-28 00:00:00,2022,202201,20220128,20220128000000,20220128235959,20220128235959.5,28,1,Jan,2022,6,Friday,5,28,0,0,0,0
29,4.125,4.5,1/29/2022,1/29/2022 00:00:00,2022-01-29,2022-01-29 00:00:00,2022-01-29T00:00:00,2022-01-29T00:00:00Z,2022-01-29T00:00:00-08:00,2022-01-29T00:00:00-05:00,2022,2022-01,2022-01-29,2022-01-29 00:00:00,2022,202201,20220129,20220129000000,20220129235959,20220129235959.5,29,1,Jan,2022,7,Saturday,5,29,0,0,0,0
30,4.375,4.625,1/30/2022,1/30/2022 00:00:00,2022-01-30,2022-01-30 00:00:00,2022-01-30T00:00:00,2022-01-30T00:00:00Z,2022-01-30T00:00:00-08:00,2022-01-30T00:00:00-05:00,2022,2022-01,2022-01-30,2022-01-30 00:00:00,2022,202201,20220130,20220130000000,20220130235959,20220130235959.5,30,1,Jan,2022,1,Sunday,6,30,0,0,0,0
31,4.5,4.75,1/31/2022,1/31/2022 00:00:00,2022-01-31,2022-01-31 00:00:00,2022-01-31T00:00:00,2022-01-31T00:00:00Z,2022-01-31T00:00:00-08:00,2022-01-31T00:00:00-05:00,2022,2022-01,2022-01-31,2022-01-31 00:00:00,2022,202201,20220131,20220131000000,20220131235959,20220131235959.5,31,1,Jan,2022,2,Monday,6,31,0,0,0,0
32,4.625,5.875,2/1/2022,2/1/2022 00:00:00,2022-02-01,2022-02-01 00:00:00,2022-02-01T00:00:00,2022-02-01T00:00:00Z,2022-02-01T00:00:00-08:00,2022-02-01T00:00:00-05:00,2022,2022-02,2022-02-01,2022-02-01 00:00:00,2022,202202,20220201,20220201000000,20220201235959,20220201235959.5,1,2,Feb,2022,3,Tuesday,6,32,0,0,0,0
33,4.75,6,2/2/2022,2/2/2022 00:00:00,2022-02-02,2022-02-02 00:00:00,2022-02-02T00:00:00,2022-02-02T00:00:00Z,2022-02-02T00:00:00-08:00,2022-02-02T00:00:00-05:00,2022,2022-02,2022-02-02,2022-02-02 00:00:00,2022,202202,20220202,20220202000000,20220202235959,20220202235959.5,2,2,Feb,2022,4,Wednesday,6,33,0,0,0,0
34,4.875,6.125,2/3/2022,2/3/2022 00:00:00,2022-02-03,2022-02-03 00:00:00,2022-02-03T00:00:00,2022-02-03T00:00:00Z,2022-02-03T00:00:00-08:00,2022-02-03T00:00:00-05:00,2022,2022-02,2022-02-03,2022-02-03 00:00:00,2022,202202,20220203,20220203000000,20220203235959,20220203235959.5,3,2,Feb,2022,5,Thursday,6,34,0,0,0,0
35,5,6.25,2/4/2022,2/4/2022 00:00:00,2022-02-04,2022-02-04 00:00:00,2022-02-04T00:00:00,2022-02-04T00:00:00Z,2022-02-04T00:00:00-08:00,2022-02-04T00:00:00-05:00,2022,2022-02,2022-02-04,2022-02-04 00:00:00,2022,202202,20220204,20220204000000,20220204235959,20220204235959.5,4,2,Feb,2022,6,Friday,6,35,0,0,0,0
36,5.125,6.375,2/5/2022,2/5/2022 00:00:00,2022-02-05,2022-02-05 00:00:00,2022-02-05T00:00:00,2022-02-05T00:00:00Z,2022-02-05T00:00:00-08:00,2022-02-05T00:00:00-05:00,2022,2022-02,2022-02-05,2022-02-05 00:00:00,2022,202202,20220205,20220205000000,20220205235959,20220205235959.5,5,2,Feb,2022,7,Saturday,6,36,0,0,0,0
37,5.375,6.5,2/6/2022,2/6/2022 00:00:00,2022-02-06,2022-02-06 00:00:00,2022-02-06T00:00:00,2022-02-06T00:00:00Z,2022-02-06T00:00:00-08:00,2022-02-06T00:00:00-05:00,2022,2022-02,2022-02-06,2022-02-06 00:00:00,2022,202202,20220206,20220206000000,20220206235959,20220206235959.5,6,2,Feb,2022,1,Sunday,7,37,0,0,0,0
38,5.5,6.625,2/7/2022,2/7/2022 00:00:00,2022-02-07,2022-02-07 00:00:00,2022-02-07T00:00:00,2022-02-07T00:00:00Z,2022-02-07T00:00:00-08:00,2022-02-07T00:00:00-05:00,2022,2022-02,2022-02-07,2022-02-07 00:00:00,2022,202202,20220207,20220207000000,20220207235959,20220207235959.5,7,2,Feb,2022,2,Monday,7,38,0,0,0,0
39,5.625,6.75,2/8/2022,2/8/2022 00:00:00,2022-02-08,2022-02-08 00:00:00,2022-02-08T00:00:00,2022-02-08T00:00:00Z,2022-02-08T00:00:00-08:00,2022-02-08T00:00:00-05:00,2022,2022-02,2022-02-08,2022-02-08 00:00:00,2022,202202,20220208,20220208000000,20220208235959,20220208235959.5,8,2,Feb,2022,3,Tuesday,7,39,0,0,0,0
40,5.75,6.875,2/9/2022,2/9/2022 00:00:00,2022-02-09,2022-02-09 00:00:00,2022-02-09T00:00:00,2022-02-09T00:00:00Z,2022-02-09T00:00:00-08:00,2022-02-09T00:00:00-05:00,2022,2022-02,2022-02-09,2022-02-09 00:00:00,2022,202202,20220209,20220209000000,20220209235959,20220209235959.5,9,2,Feb,2022,4,Wednesday,7,40,0,0,0,0
41,5.875,7,2/10/2022,2/10/2022 00:00:00,2022-02-10,2022-02-10 00:00:00,2022-02-10T00:00:00,2022-02-10T00:00:00Z,2022-02-10T00:00:00-08:00,2022-02-10T00:00:00-05:00,2022,2022-02,2022-02-10,2022-02-10 00:00:00,2022,202202,20220210,20220210000000,20220210235959,20220210235959.5,10,2,Feb,2022,5,Thursday,7,41,0,0,0,0
42,6,7.125,2/11/2022,2/11/2022 00:00:00,2022-02-11,2022-02-11 00:00:00,2022-02-11T00:00:00,2022-02-11T00:00:00Z,2022-02-11T00:00:00-08:00,2022-02-11T00:00:00-05:00,2022,2022-02,2022-02-11,2022-02-11 00:00:00,2022,202202,20220211,20220211000000,20220211235959,20220211235959.5,11,2,Feb,2022,6,Friday,7,42,0,0,0,0
43,6.125,7.25,2/12/2022,2/12/2022 00:00:00,2022-02-12,2022-02-12 00:00:00,2022-02-12T00:00:00,2022-02-12T00:00:00Z,2022-02-12T00:00:00-08:00,2022-02-12T00:00:00-05:00,2022,2022-02,2022-02-12,2022-02-12 00:00:00,2022,202202,20220212,20220212000000,20220212235959,20220212235959.5,12,2,Feb,2022,7,Saturday,7,43,0,0,0,0
